country,region
Paraguay,Latin America & Caribbean
Peru,Latin America & Caribbean
Philippines,East Asia & Pacific
Poland,Europe & Central Asia
Portugal,Europe & Central Asia
Puerto Rico,Latin America & Caribbean
Qatar,Middle East & North Africa
Romania,Europe & Central Asia
Russia,Europe & Central Asia
Rwanda,Sub-Saharan Africa
São Tomé and Principe,Sub-Saharan Africa
Samoa,East Asia & Pacific
San Marino,Europe & Central Asia
Saudi Arabia,Middle East & North Africa
Senegal,Sub-Saharan Africa
Serbia,Europe & Central Asia
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Singapore,East Asia & Pacific
Sint Maarten (Dutch part),Latin America & Caribbean
Slovak Republic,Europe & Central Asia
Slovenia,Europe & Central Asia
Solomon Islands,East Asia & Pacific
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Spain,Europe & Central Asia
Sri Lanka,South Asia
St. Kitts and Nevis,Latin America & Caribbean
St. Lucia,Latin America & Caribbean
St. Martin (French part),Latin America & Caribbean
St. Vincent and the Grenadines,Latin America & Caribbean
Sudan,Sub-Saharan Africa
Suriname,Latin America & Caribbean
Swaziland,Sub-Saharan Africa
Sweden,Europe & Central Asia
Switzerland,Europe & Central Asia
Syria,Middle East & North Africa
Syrian Arab Republic,Middle East & North Africa
Tajikistan,Europe & Central Asia
Tanzania,Sub-Saharan Africa
Thailand,East Asia & Pacific
The Bahamas,Latin America & Caribbean
The Gambia,Sub-Saharan Africa
Timor-Leste,East Asia & Pacific
Togo,Sub-Saharan Africa
Tonga,East Asia & Pacific
Trinidad and Tobago,Latin America & Caribbean
Tunisia,Middle East & North Africa
Turkey,Europe & Central Asia
Turkmenistan,Europe & Central Asia
Turks and Caicos Islands,Latin America & Caribbean
Tuvalu,East Asia & Pacific
Uganda,Sub-Saharan Africa
Ukraine,Europe & Central Asia
United Arab Emirates,Middle East & North Africa
United Kingdom,Europe & Central Asia
United States,North America
Uruguay,Latin America & Caribbean
Uzbekistan,Europe & Central Asia
Vanuatu,East Asia & Pacific
Venezuela,Latin America & Caribbean
Vietnam,East Asia & Pacific
Virgin Islands,Latin America & Caribbean
West Bank and Gaza,Middle East & North Africa
Yemen,Middle East & North Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
